PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
-	-9	com.apple.progressd
-	0	com.apple.enhancedloggingd
68348	-9	com.apple.cloudphotod
-	-9	com.apple.MENotificationService
658	0	com.apple.Finder
773	0	com.apple.homed
-	-9	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
861	0	com.apple.mediaremoteagent
666	0	com.apple.FontWorker
68156	-9	com.apple.bird
-	0	com.apple.amp.mediasharingd
71636	0	com.apple.knowledgeconstructiond
72421	-9	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
48156	0	application.com.openai.chat.3616439.3616445
-	0	com.apple.GameController.gamecontrolleragentd
1054	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
636	0	com.apple.nsurlsessiond
72435	-9	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
72286	-9	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
-	-9	com.apple.intelligenceplatformd
72224	-9	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	-9	com.apple.LinkedNotesUIService
-	-9	com.apple.ndoagent
671	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
72236	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
865	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
72296	-9	com.apple.ManagedSettingsAgent
-	78	com.ai-empire.autopipeline
68316	-9	com.apple.photolibraryd
-	78	com.empire.claude-free
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	-9	com.apple.ThreadCommissionerService
-	-9	com.apple.tipsd
-	0	com.apple.stickersd
-	-9	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
1178	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	-9	com.apple.assistant_service
-	0	com.apple.MRTa
71948	-9	com.apple.CommCenter
618	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
73798	0	com.apple.mdworker.shared.03000000-0500-0000-0000-000000000000
-	0	com.apple.appkit.xpc.ColorSampler
590	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
-	0	com.apple.CoreDevice.remotepairingd
-	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
-	0	com.apple.peopled
-	0	com.apple.remotecompositorclientd
-	0	com.apple.PosterBoard
72235	-9	com.apple.replicatord
72186	-9	com.apple.keyboardservicesd
72396	-9	com.apple.accessibility.axassetsd
72162	-9	com.apple.quicklook.ThumbnailsAgent
-	-9	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
609	0	com.apple.WindowManager.agent
715	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
72273	-9	com.apple.webprivacyd
72185	-9	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
72285	0	com.ollama.ollama
-	-9	com.apple.voicebankingd
-	0	com.apple.gamesaved
-	0	com.apple.universalaccesscontrol
72292	-9	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
1166	0	homebrew.mxcl.postgresql@14
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
-	-9	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.arkitd
-	0	com.apple.systemprofiler
-	78	com.ai-empire.watchdog
-	-9	com.apple.homeenergyd
68187	-9	com.apple.cloudd
-	0	com.apple.noticeboard.agent
4956	0	com.apple.UserNotificationCenterAgent
706	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
1177	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
-	0	com.apple.LocalAuthentication.UIAgent
-	-9	com.apple.ap.adprivacyd
-	0	com.apple.callhistoryd
68947	-9	com.apple.ap.promotedcontentd
-	-9	com.apple.apfsuseragent
-	0	com.apple.intelligencetasksd
72446	-9	com.apple.networkserviceproxy
655	0	com.apple.controlcenter
-	-9	com.apple.contacts.postersyncd
910	0	com.apple.AMPLibraryAgent
-	0	com.openssh.ssh-agent
-	-9	com.apple.amsondevicestoraged
-	-9	com.apple.tonelibraryd
70342	-9	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
72297	-9	com.apple.ctcategories.service
68310	-9	com.apple.ctkd
-	0	com.apple.package-script-service
68258	-9	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
-	0	com.apple.mediacontinuityd
-	-9	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
71982	-9	com.apple.synapse.contentlinkingd
72054	-9	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	0	com.apple.SiriTTSTrainingAgent
72021	-9	com.apple.triald
614	0	com.apple.tccd
-	0	com.apple.nexusd
756	0	com.apple.StatusKitAgent
-	0	com.apple.diagnosticspushd
71983	-9	com.apple.replayd
72404	-9	com.apple.coreservices.uiagent
69599	-9	com.apple.icloud.searchpartyuseragent
-	0	com.apple.AccessibilityVisualsAgent
71986	1	com.apple.Siri.agent
-	0	com.apple.installd.user
-	0	com.apple.privatecloudcomputed
71529	-9	com.apple.textunderstandingd
72230	-9	com.apple.liveactivitiesd
68294	-9	com.apple.akd
