COMMAND     PID    USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    619 maurice   10u  IPv4 0x8a852dc56588cc9d      0t0  TCP *:49152 (LISTEN)
rapportd    619 maurice   11u  IPv6 0x63ddf6436b4cd66b      0t0  TCP *:49152 (LISTEN)
ControlCe   655 maurice   10u  IPv4 0xb5f112f7eba3fb34      0t0  TCP *:7000 (LISTEN)
ControlCe   655 maurice   11u  IPv6 0xe1aabef487e065a5      0t0  TCP *:7000 (LISTEN)
ControlCe   655 maurice   12u  IPv4 0xbbcc48387909e54a      0t0  TCP *:5000 (LISTEN)
ControlCe   655 maurice   13u  IPv6 0x90a9b9ff3f060e6e      0t0  TCP *:5000 (LISTEN)
redis-ser  1154 maurice    6u  IPv4 0x41adf229c36ac35c      0t0  TCP 127.0.0.1:6379 (LISTEN)
redis-ser  1154 maurice    7u  IPv6 0x2ae92d071b974c40      0t0  TCP [::1]:6379 (LISTEN)
postgres   1166 maurice    7u  IPv6 0x2d01c33205b6a07d      0t0  TCP [::1]:5432 (LISTEN)
postgres   1166 maurice    8u  IPv4  0xa2f0ae6b3e43e15      0t0  TCP 127.0.0.1:5432 (LISTEN)
logioptio  1167 maurice   47u  IPv4 0xa9c7d5574a3f9eb0      0t0  TCP *:59869 (LISTEN)
Electron   1807 maurice   49u  IPv6 0x682b5802f04c9228      0t0  TCP *:49369 (LISTEN)
Antigravi  1917 maurice   71u  IPv4 0xea4eab6567ef315f      0t0  TCP 127.0.0.1:49409 (LISTEN)
Antigravi  1917 maurice  148u  IPv4 0xf0f96b753c28d00e      0t0  TCP 127.0.0.1:58983 (LISTEN)
Antigravi  1918 maurice   53u  IPv4 0x93f65899c5cea10a      0t0  TCP 127.0.0.1:49378 (LISTEN)
Antigravi  1918 maurice  104u  IPv4 0xd2dd62ce426dbb72      0t0  TCP 127.0.0.1:59202 (LISTEN)
language_  1976 maurice   21u  IPv4 0xa3d6ed2c802ac7d8      0t0  TCP 127.0.0.1:49380 (LISTEN)
language_  1976 maurice   22u  IPv4 0x6af0007ba1d11e5f      0t0  TCP 127.0.0.1:49381 (LISTEN)
language_  1976 maurice   29u  IPv4 0x6b67dc2093c958e2      0t0  TCP 127.0.0.1:49394 (LISTEN)
language_  2094 maurice   21u  IPv4 0x12a030a16ea69d54      0t0  TCP 127.0.0.1:49413 (LISTEN)
language_  2094 maurice   22u  IPv4 0x7b027155ce8e60cf      0t0  TCP 127.0.0.1:49414 (LISTEN)
language_  2094 maurice   37u  IPv4 0xd6656d327693fc1d      0t0  TCP 127.0.0.1:49422 (LISTEN)
Python    18360 maurice    8u  IPv4 0x5902065f66e68500      0t0  TCP *:8080 (LISTEN)
Python    18360 maurice    9u  IPv6 0x4bf0c690f69130e3      0t0  TCP *:8080 (LISTEN)
Google    21241 maurice   64u  IPv4  0x56998b086520ed1      0t0  TCP 127.0.0.1:9222 (LISTEN)
node      24350 maurice   17u  IPv6 0x82ecf9246a57f8e2      0t0  TCP *:5678 (LISTEN)
node      24350 maurice   20u  IPv4 0x92ee1480558090c8      0t0  TCP 127.0.0.1:5679 (LISTEN)
Python    29744 maurice    6u  IPv4 0x1b01ea5e07ec974f      0t0  TCP *:8090 (LISTEN)
redis-ser 40748 maurice    6u  IPv4 0xb9036cf2d40f2bba      0t0  TCP *:6379 (LISTEN)
redis-ser 40748 maurice    7u  IPv6 0x8f65000426594211      0t0  TCP *:6379 (LISTEN)
Ollama    72300 maurice    4u  IPv4 0xc136e40ebbe93fb4      0t0  TCP 127.0.0.1:59791 (LISTEN)
ollama    72309 maurice    4u  IPv4 0x7fb2c1c054c6dedf      0t0  TCP 127.0.0.1:11434 (LISTEN)
